article_id,instrument,article,function_class,function_rule_label,function_ambiguous,function_note,subtype_descriptive,completeness_class,provenance,operational_core_rank_3y,court_judgments,party_judgments,hybrid_rate,named_fiqh_rate,maxim_rate,window
commercial_courts_law:16,commercial_courts_law,16,INSTITUTIONAL_OPERATION,INSTITUTIONAL_OPERATION,false,subject-matter jurisdiction of the commercial court,jurisdiction,INSTITUTIONAL_DIRECTIVE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",1,9190,2110,37.2,24.6,2.8,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_law:30,commercial_courts_law,30,INSTITUTIONAL_OPERATION,INSTITUTIONAL_OPERATION,true,when proceedings count as adversarial,service_notice,SELF_SUFFICIENT_RULE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",2,4892,730,42.8,26.5,3.2,contemporary_5y (1442-1446); rank column is 1444-1446
evidence_law:29,evidence_law,29,DISPUTE_DECISION,DISPUTE_DECISION,false,the private document is attributed to its signatory,proof_rules,SELF_SUFFICIENT_RULE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",3,3770,185,38.6,22.6,2.0,contemporary_5y (1442-1446); rank column is 1444-1446
sharia_procedure_law:76,sharia_procedure_law,76,INSTITUTIONAL_OPERATION,INSTITUTIONAL_OPERATION,false,pleas of jurisdiction and standing,standing_capacity,INSTITUTIONAL_DIRECTIVE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",5,1564,294,11.4,8.3,0.1,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_implementing_regulation:164,commercial_courts_implementing_regulation,164,DISPUTE_DECISION,INSTITUTIONAL_OPERATION,true,entitlement to compensation for material and moral damage; the costs component pulls the other way,costs,EXTERNAL_REFERRAL,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",4,1394,129,66.6,53.3,4.6,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_law:78,commercial_courts_law,78,INSTITUTIONAL_OPERATION,INSTITUTIONAL_OPERATION,false,which judgments are appealable,appeal_finality,INSTITUTIONAL_DIRECTIVE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",6,1275,205,41.8,24.9,4.1,contemporary_5y (1442-1446); rank column is 1444-1446
evidence_law:21,evidence_law,21,MIXED,MIXED,false,an interrogation power whose consequence bears on the contested fact,attendance_default,OPEN_TEXTURED_STANDARD,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",7,1030,56,45.4,21.1,2.8,contemporary_5y (1442-1446); rank column is 1444-1446
evidence_law:17,evidence_law,17,DISPUTE_DECISION,DISPUTE_DECISION,false,the judicial admission is conclusive against its maker,proof_rules,SELF_SUFFICIENT_RULE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",8,846,41,28.1,22.0,1.2,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_law:10,commercial_courts_law,10,INSTITUTIONAL_OPERATION,INSTITUTIONAL_OPERATION,false,how electronic service is effected,service_notice,INSTITUTIONAL_DIRECTIVE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",9,816,11,44.5,33.7,2.5,contemporary_5y (1442-1446); rank column is 1444-1446
evidence_law:14,evidence_law,14,DISPUTE_DECISION,DISPUTE_DECISION,false,what makes an admission judicial,proof_rules,DEFINITION_STATUS,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",10,574,47,28.2,20.0,1.0,contemporary_5y (1442-1446); rank column is 1444-1446
sharia_procedure_law:57,sharia_procedure_law,57,MIXED,MIXED,false,default: the case is decided against the absent defendant,attendance_default,OPEN_TEXTURED_STANDARD,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",14,539,100,57.7,20.8,6.5,contemporary_5y (1442-1446); rank column is 1444-1446
sharia_procedure_law:70,sharia_procedure_law,70,MIXED,AMBIGUOUS,false,"recording what the parties agreed, and issuing the deed",other,INSTITUTIONAL_DIRECTIVE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",11,533,7,42.4,1.5,0.0,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_law:1,commercial_courts_law,1,INSTITUTIONAL_OPERATION,INSTITUTIONAL_OPERATION,false,the statute's defined terms,definitions,DEFINITION_STATUS,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",13,528,51,42.2,11.2,2.7,contemporary_5y (1442-1446); rank column is 1444-1446
sharia_procedure_law:31,sharia_procedure_law,31,INSTITUTIONAL_OPERATION,INSTITUTIONAL_OPERATION,false,jurisdiction of the general courts,jurisdiction,INSTITUTIONAL_DIRECTIVE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",15,522,29,18.6,15.7,0.2,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_law:79,commercial_courts_law,79,INSTITUTIONAL_OPERATION,INSTITUTIONAL_OPERATION,false,the appeal periods,appeal_finality,INSTITUTIONAL_DIRECTIVE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",12,503,16,26.4,11.5,0.8,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_implementing_regulation:11,commercial_courts_implementing_regulation,11,INSTITUTIONAL_OPERATION,AMBIGUOUS,false,which chamber hears a claim of what value,other,INSTITUTIONAL_DIRECTIVE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",25,398,26,11.1,8.3,1.3,contemporary_5y (1442-1446); rank column is 1444-1446
evidence_law:3,evidence_law,3,DISPUTE_DECISION,DISPUTE_DECISION,false,the burden of proof and the presumptions that go with it,proof_rules,OPEN_TEXTURED_STANDARD,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",16,397,64,46.9,22.9,2.8,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_implementing_regulation:58,commercial_courts_implementing_regulation,58,INSTITUTIONAL_OPERATION,AMBIGUOUS,false,mandatory mediation before filing,other,INSTITUTIONAL_DIRECTIVE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",40,374,68,1.1,0.3,0.0,contemporary_5y (1442-1446); rank column is 1444-1446
evidence_law:1,evidence_law,1,INSTITUTIONAL_OPERATION,AMBIGUOUS,true,the scope of the Evidence Law; a scope clause of a dispute-deciding code,other,DEFINITION_STATUS,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",17,356,20,71.6,62.6,7.3,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_implementing_regulation:64,commercial_courts_implementing_regulation,64,MIXED,AMBIGUOUS,false,a settlement offer that disposes of the dispute through a procedural mechanism,other,SELF_SUFFICIENT_RULE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",20,329,24,72.3,55.9,14.3,contemporary_5y (1442-1446); rank column is 1444-1446
