instrument_id,window,feature_articlesInRegistry,feature_medianArticleWords,feature_crossRefPerArticle,feature_shariaReferenceSharePct,feature_customReferenceSharePct,feature_discretionarySharePct,feature_openTexturedSharePct,feature_delegationSharePct,feature_subparagraphsPerArticle,feature_definitionSharePct,feature_commencement,feature_commencementYear,feature_yearsObservedTo1446,feature_domain,feature_codificationRelation,court_judgments,court_citations,court_distinctArticles,court_statuteOnlyPct,court_hybridPct,court_named_fiqh,court_maxim,court_scripture,court_judicial_principle,court_custom,court_top10ConcentrationPct,court_supplementaryNamedSourcePct,party_wide_judgments,party_wide_hybridPct,party_wide_named_fiqh,party_strict_judgments,party_strict_hybridPct,court_minus_party_wide_pts,hybrid_standardised_for_citation_load,marginal_effect_pts,marginal_effect_within_CCL_pts,article_rate_sd,article_rate_min,article_rate_max,years_with_n40,provenance
commercial_courts_law,1444-1446,96,47,0.18,6.2,1.0,38.5,13.5,22.9,2.25,4.2,15/08/1441,1441,5,procedure,creates_procedure_or_institution,13254,18502,94,62.9,37.1,22.2,2.6,14.5,3.9,3.0,91.0,64.0,4948,20.4,7.0,1327,29.0,16.7,36.6,7.6,,20.0,0.0,85.9,1442:29.7;1443:34.6;1444:36.6;1445:39.3;1446:32.8,"outcomes are scans of authority_mentions.jsonl.gz; features are computed from the enacted text in the corpus registry except domain and codificationRelation, which are hand fields assigned from the registry note and the statute's own chapter headings, never from behaviour"
evidence_law,1444-1446,129,37,0.03,2.3,3.1,40.3,17.8,0.0,0.36,2.3,26/05/1443,1443,3,evidence,codifies_a_fiqh_field,7611,9932,104,60.6,39.4,24.3,2.4,12.8,6.3,3.6,79.2,62.1,1041,42.8,14.1,521,48.2,-3.4,37.5,7.7,4.6,13.4,6.0,76.3,1443:46.0;1444:42.5;1445:36.2;1446:30.9,"outcomes are scans of authority_mentions.jsonl.gz; features are computed from the enacted text in the corpus registry except domain and codificationRelation, which are hand fields assigned from the registry note and the statute's own chapter headings, never from behaviour"
sharia_procedure_law,1444-1446,242,40,0.09,6.6,0.0,29.8,20.2,0.0,1.12,1.7,22/01/1435,1435,11,procedure,creates_procedure_or_institution,3854,4610,93,72.3,27.7,14.3,1.0,10.5,5.5,1.0,77.4,65.9,1313,33.5,14.3,623,36.6,-5.8,27.9,-8.9,-9.3,21.7,0.0,69.0,1442:23.8;1443:18.4;1444:25.0;1445:35.0;1446:52.1,"outcomes are scans of authority_mentions.jsonl.gz; features are computed from the enacted text in the corpus registry except domain and codificationRelation, which are hand fields assigned from the registry note and the statute's own chapter headings, never from behaviour"
commercial_courts_implementing_regulation,1444-1446,281,26,0.34,0.4,0.7,18.5,10.7,0.0,1.05,4.6,26/10/1441,1441,5,procedure,creates_procedure_or_institution,3533,4388,109,55.2,44.8,31.9,3.8,10.1,10.4,2.7,67.6,57.2,5143,16.7,5.7,737,25.9,28.1,42.5,12.3,13.3,22.1,0.0,84.4,1443:14.7;1444:44.0;1445:47.2;1446:41.6,"outcomes are scans of authority_mentions.jsonl.gz; features are computed from the enacted text in the corpus registry except domain and codificationRelation, which are hand fields assigned from the registry note and the statute's own chapter headings, never from behaviour"
companies_law,1444-1446,,,,,,,,,,,,,,,,634,853,130,84.2,15.8,10.1,1.3,5.4,3.2,0.8,50.2,48.8,643,24.6,9.5,301,28.6,-8.8,16.2,-19.7,-17.8,30.7,2.8,75.0,1443:49.3;1444:17.5;1445:9.8,"outcomes are scans of authority_mentions.jsonl.gz; features are computed from the enacted text in the corpus registry except domain and codificationRelation, which are hand fields assigned from the registry note and the statute's own chapter headings, never from behaviour"
arbitration_law,1444-1446,58,69,0.19,12.1,0.0,31.0,20.7,0.0,2.07,3.4,18/07/1433,1433,13,arbitration,creates_procedure_or_institution,363,542,31,95.9,4.1,3.9,0.3,0.3,0.3,0.0,92.4,11.1,100,15.0,4.0,60,16.7,-10.9,4.4,-31.3,-36.1,4.8,0.0,13.2,1444:5.1;1445:1.1,"outcomes are scans of authority_mentions.jsonl.gz; features are computed from the enacted text in the corpus registry except domain and codificationRelation, which are hand fields assigned from the registry note and the statute's own chapter headings, never from behaviour"
civil_transactions_law,1444-1446,721,30,0.03,0.3,4.0,13.5,11.4,0.0,0.17,1.9,29/11/1444,1444,2,obligations,codifies_a_fiqh_field,357,488,95,75.1,24.9,7.8,5.6,9.5,2.8,4.5,62.5,53.3,192,47.9,20.3,116,50.9,-23.0,23.0,-10.1,-6.7,5.8,16.7,29.4,1445:24.2;1446:25.8,"outcomes are scans of authority_mentions.jsonl.gz; features are computed from the enacted text in the corpus registry except domain and codificationRelation, which are hand fields assigned from the registry note and the statute's own chapter headings, never from behaviour"
law_practice_law,1444-1446,55,48,0.35,9.1,0.0,36.4,5.5,9.1,1.49,3.6,28/07/1422,1422,24,professional_regulation,creates_procedure_or_institution,345,365,12,40.6,59.4,24.1,0.6,21.4,22.9,2.3,99.5,57.0,106,44.3,16.0,38,39.5,15.1,59.2,25.0,14.7,,,,1443:39.0;1444:58.9;1445:61.8,"outcomes are scans of authority_mentions.jsonl.gz; features are computed from the enacted text in the corpus registry except domain and codificationRelation, which are hand fields assigned from the registry note and the statute's own chapter headings, never from behaviour"
sharia_procedure_implementing_regulation,1444-1446,,,,,,,,,,,,,,,,191,199,30,67.0,33.0,18.8,3.1,11.0,3.7,1.0,83.4,69.9,83,41.0,18.1,26,50.0,-8.0,33.4,-1.9,8.4,,,,1444:35.1;1445:34.7,"outcomes are scans of authority_mentions.jsonl.gz; features are computed from the enacted text in the corpus registry except domain and codificationRelation, which are hand fields assigned from the registry note and the statute's own chapter headings, never from behaviour"
bankruptcy_law,1444-1446,231,53,0.84,0.0,0.0,23.4,22.1,25.1,3.21,1.3,28/05/1439,1439,7,insolvency,creates_procedure_or_institution,86,149,33,96.5,3.5,2.3,0.0,1.2,0.0,1.2,77.9,40.0,54,31.5,13.0,25,28.0,-28.0,5.2,-31.5,,,,,1444:4.8,"outcomes are scans of authority_mentions.jsonl.gz; features are computed from the enacted text in the corpus registry except domain and codificationRelation, which are hand fields assigned from the registry note and the statute's own chapter headings, never from behaviour"
