pilot_id,article_key,article_number_current,issue_id,pre_status,source_url,source_type,source_access_method,text_location,decision,captured_current_official_arabic_text,capture_char_count,issue_closure_action,post_status,blocker_reason,no_base_popup_synthesis_confirmation,notes
pilot_002_001,labor_law_art_011,11,issue_049,NEEDS_MANUAL_REVIEW,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,BOE,BOE_DOM_POPUP,popup,CAPTURE_ALLOWED_OFFICIAL_CURRENT_TEXT,"إذا عهد صاحب العمل لأي شخص طبيعي أو معنوي القيام بعمل من أعماله الأصلية، أو جزء منها؛ وجب على الأخير أن يعطي عماله جميع الحقوق والمزايا التي يعطيها صاحب العمل الأصلي لعماله",172,CLOSED_WITH_EVIDENCE,RECONCILED_FROM_BOE_OFFICIAL_AR,"",CONFIRMED_NO_BASE_POPUP_SYNTHESIS,"M/46 popup clearly presents لتكون بالنص الآتي with complete current article text; SHA-256=5dfc8ae98c06ca410b9efc20851328da190462a70dc1d0b288139925c5bd6e33; char_count=172"
pilot_002_002,labor_law_art_012,12,issue_050,NEEDS_MANUAL_REVIEW,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,BOE,BOE_DOM_POPUP,popup,CAPTURE_ALLOWED_OFFICIAL_CURRENT_TEXT,"1 - تضع الوزارة نموذجاً موحداً - أو أكثر - للائحة تنظيم العمل، على أن يكون شاملاً لقواعد تنظيم العمل وما يتصل به من أحكام، بما في ذلك الأحكام المتعلقة بالميزات والأحكام الخاصة بالمخالفات والجزاءات التأديبية. 2 - تضع الوزارة ضوابط وآليات اعتماد لوائح تنظيم العمل",261,CLOSED_WITH_EVIDENCE,RECONCILED_FROM_BOE_OFFICIAL_AR,"",CONFIRMED_NO_BASE_POPUP_SYNTHESIS,"M/46 popup clearly presents complete current article text for art 12 (articles 12/13/14 reformed into 2 articles); text for art 12 extracted from popup; SHA-256=39648d720498d81e91745746028f4d4c08186f3f19eff8369f38cd5bb2c99871; char_count=261"
pilot_002_003,labor_law_art_013,13,issue_051,NEEDS_MANUAL_REVIEW,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,BOE,BOE_DOM_POPUP,popup,CAPTURE_ALLOWED_OFFICIAL_CURRENT_TEXT,"1 - يلتزم كل صاحب عمل بإعداد لائحة لتنظيم العمل في منشأته وفق النموذج المعد من الوزارة، ويجوز للوزير الاستثناء من ذلك. 2 - يجوز لصاحب العمل تضمين اللائحة شروطاً وأحكاماً إضافية، بما لا يتعارض مع أحكام هذا النظام ولائحته والقرارات الصادرة تنفيذاً له. 3 - يجب على صاحب العمل أن يعلن لائحة تنظيم العمل وأي تعديل يطرأ عليها في مكان ظاهر في المنشأة أو أي وسيلة أخرى تكفل علم الخاضعين لها بأحكامها",391,CLOSED_WITH_EVIDENCE,RECONCILED_FROM_BOE_OFFICIAL_AR,"",CONFIRMED_NO_BASE_POPUP_SYNTHESIS,"M/46 popup clearly presents complete current article text for art 13 (articles 12/13/14 reformed into 2 articles); text for art 13 extracted from popup; SHA-256=c62843fd9210d6a7f90ec0d6567f45dacc290b814337948cebc64aa043b1d593; char_count=391"
pilot_002_004,labor_law_art_014,14,issue_052,NEEDS_MANUAL_REVIEW,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,BOE,BOE_DOM_POPUP,popup,DELETED_OR_ABOLISHED_EXCLUDE,"",0,REMAINS_OPEN,DO_NOT_INGEST_YET,"M/46 popup states articles 12/13/14 were reformed into 2 articles (12 and 13); article 14 effectively abolished/absorbed; old text must not be captured as current",CONFIRMED_NO_BASE_POPUP_SYNTHESIS,"Article 14 abolished by M/46 reform; articles 12+13+14 consolidated into 2 articles (12 and 13); no text capture for art 14"
pilot_002_005,labor_law_art_022,22,issue_053,NEEDS_MANUAL_REVIEW,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,BOE,BOE_DOM_POPUP,popup,BLOCKED_POPUP_BASE_STRUCTURE,"",0,REMAINS_OPEN,DO_NOT_INGEST_YET,"M/44 popup describes partial modification only: صدر modified + paragraph 3/3 modified; not a complete لتكون بالنص الآتي replacement of full article; cannot synthesize",CONFIRMED_NO_BASE_POPUP_SYNTHESIS,"M/44 partial modification: صدر replaced + para 3/3 replaced only; full current text not presented as complete replacement"
pilot_002_006,labor_law_art_023,23,issue_054,NEEDS_MANUAL_REVIEW,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,BOE,BOE_DOM_POPUP,popup,BLOCKED_POPUP_BASE_STRUCTURE,"",0,REMAINS_OPEN,DO_NOT_INGEST_YET,"M/44 popup describes word substitution only (إحلال كلمة قنوات محل كلمتي وحدة و وحدات); full current text not presented as لتكون بالنص الآتي; cannot synthesize",CONFIRMED_NO_BASE_POPUP_SYNTHESIS,"M/44 word substitution only; same pattern as art_027; cannot synthesize"
pilot_002_007,labor_law_art_024,24,issue_055,NEEDS_MANUAL_REVIEW,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,BOE,BOE_DOM_POPUP,popup,BLOCKED_POPUP_BASE_STRUCTURE,"",0,REMAINS_OPEN,DO_NOT_INGEST_YET,"M/44 popup describes word substitution only (إحلال كلمة قنوات محل كلمتي وحدة و وحدات); full current text not presented as لتكون بالنص الآتي; cannot synthesize",CONFIRMED_NO_BASE_POPUP_SYNTHESIS,"M/44 word substitution only; same pattern as art_027; cannot synthesize"
pilot_002_008,labor_law_art_025,25,issue_056,NEEDS_MANUAL_REVIEW,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,BOE,BOE_DOM_POPUP,popup,BLOCKED_POPUP_BASE_STRUCTURE,"",0,REMAINS_OPEN,DO_NOT_INGEST_YET,"M/44 popup describes word/phrase substitutions only (إحلال كلمة قنوات + إحلال كلمة الوزارة); full current text not presented as لتكون بالنص الآتي; cannot synthesize",CONFIRMED_NO_BASE_POPUP_SYNTHESIS,"M/44 word/phrase substitutions only; cannot synthesize"
pilot_002_009,labor_law_art_028,28,issue_058,NEEDS_MANUAL_REVIEW,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,BOE,BOE_DOM_POPUP,popup,BLOCKED_POPUP_BASE_STRUCTURE,"",0,REMAINS_OPEN,DO_NOT_INGEST_YET,"M/44 popup describes word/phrase substitutions only (إحلال كلمة قنوات + إحلال كلمة الوزارة + إحلال عبارة التي يشغلها ذوو الإعاقة); full current text not presented as لتكون بالنص الآتي; cannot synthesize",CONFIRMED_NO_BASE_POPUP_SYNTHESIS,"M/44 word/phrase substitutions only; cannot synthesize"
pilot_002_010,labor_law_art_031,31,issue_060,NEEDS_MANUAL_REVIEW,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,BOE,BOE_DOM_POPUP,popup,BLOCKED_POPUP_BASE_STRUCTURE,"",0,REMAINS_OPEN,DO_NOT_INGEST_YET,"M/44 popup describes phrase addition only (بإضافة عبارة أو الشركات بعد كلمة المكاتب); full current text not presented as لتكون بالنص الآتي; cannot synthesize",CONFIRMED_NO_BASE_POPUP_SYNTHESIS,"M/44 phrase addition only; cannot synthesize"
