review_priority,article_number,review_bucket,original_difference_type,similarity,candidate_text_length,ocr_text_length,candidate_hash,official_source_hash,verification_action_allowed,article_title_ar,suspected_issue,recommended_action
P0,3,missing_or_segmentation_issue,missing_in_official_source,0.0,95,0,42a8944cf60f240fac299ceae483704d61e77788723d7b8492dace5b16dd6ad0,,False,جنسية الشركة,لم يُعثر على المادة في مخرجات OCR (فشل استخراج العنوان أو فجوة تقطيع). / article not located in OCR (heading miss / segmentation gap).,مراجعة الصفحة الممسوحة يدويًا وتأكيد وجود/رقم المادة. / manually check the scanned page; confirm the article exists / its number.
P1,1,low_similarity_manual_review,substantive_difference,0.3948,709,703,fdefd577567b56b42e7867c53a3b7a141e772515b633f056c79314f72c23508a,9050c545bea6ac3f998549be028247274183aa5a8e664d3e07f8e53ebdedd16e,False,التعريفات,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,12,low_similarity_manual_review,substantive_difference,0.2579,345,388,d590f4700333e85d8e6fdfed485ca97c3b69d451349f0982613c876c1a733cde,b09373df10b24133a93a9b66ecd45b0c2618abfbd3d32e75ce1403b0c6ce4275,False,البيانات الواجب تضمينها في وثائق الشركة,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,19,low_similarity_manual_review,substantive_difference,0.5589,1572,1818,ab96b968d66c2189b3af105a5dc7e64a602e27a863c6dd00fec6503ae03f58c1,1b55d2c5761e2b5a514fc4c02516cd05bb825e6601954c9072ffbe0295b0b921,False,عدم سريان متطلب تعيين مراجع حسابات,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,22,low_similarity_manual_review,substantive_difference,0.3772,521,648,f7d6c610e7adcec1735ac71e27521078b822f626b859d7c0b015daa5aa4132b3,97b29b98cd377a7983ce700b22df153b642a24f5f9fe27fd0f90bf6e4410c181,False,توزيع الأرباح,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,23,low_similarity_manual_review,substantive_difference,0.5736,363,309,0f3bea402dad78c55bdc6870cb5ae6305a0457d01226440acba176106a9631ee,a0d1a21aa811f6aad0c0d1d5f396a2aed8e4cc9418dbd5da148798e81880b2bf,False,تقاسم الأرباح والخسائر,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,55,low_similarity_manual_review,substantive_difference,0.2679,370,380,adaa236c18e4bb53b78a4d42a428a14f108d1ad38ec25c43201e33891fc9e4c5,1395b22f8031b2dd50f7d01e6c80625557b049fd29140eafce87f3f35378ef53,False,قرارات الشركاء,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,60,low_similarity_manual_review,substantive_difference,0.5403,240,305,7fadde5590cbecf6c536cc566bf1cca754cd5027a19b6c6732193e7d41577231,e9e16ba17b0a0ed5abce0747578ae9e88966aa7354a65fceb012ee7b778c64cd,False,رأس المال المصدر والمصرح به,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,61,low_similarity_manual_review,substantive_difference,0.4903,1303,1350,0b796c2ad236278c0b471a1031a0767d04c6112042da0abd364b94a93158573a,0ef93c6072c04b88b0a0a86c9c78c3da2d915bbd56945b8cfbbf68239182f5bc,False,بيانات نظام الشركة الأساس,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,71,low_similarity_manual_review,substantive_difference,0.1353,1358,1485,800883012146a6c3ec5bbc8b67379966de223aa394efed167e18bd4b5cb68d6a,48aefc87b05505ae435f912c9803e4bb7d3c271e8ce4a400145ec7bc92a60825,False,الإفصاح عن المصلحة في الأعمال والعقود,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
