term_ar,expected_presence,official_source_presence,uploaded_candidate_presence,mismatch_type,official_short_phrase_reference,resolution_status,notes
الوزارة,yes,yes,yes,none,article_2_term_label,TERM_CONFIRMED_STRUCTURAL_ONLY,
الوزير,yes,yes,yes,none,article_2_term_label,TERM_CONFIRMED_STRUCTURAL_ONLY,
مكتب العمل,yes,yes,yes,none,article_2_term_label,TERM_CONFIRMED_STRUCTURAL_ONLY,
صاحب العمل,yes,yes,shifted_or_corrupted,uploaded_label_shift,article_2_term_label,UPLOADED_EXTRACTION_ISSUE,uploaded candidate had label shift: صاحب العمل label carried العامل definition
العامل,yes,yes,shifted_or_corrupted,uploaded_label_shift,article_2_term_label,UPLOADED_EXTRACTION_ISSUE,uploaded candidate had missing/shifted label for العامل
الإسناد,yes,yes,needs_manual_check,m44_added_term,m44_added_term_label,M44_TERM_CONFIRMED_STRUCTURAL_ONLY,added by Royal Decree M/44; term label only
الاستقالة,yes,yes,needs_manual_check,m44_added_term,m44_added_term_label,M44_TERM_CONFIRMED_STRUCTURAL_ONLY,added by Royal Decree M/44; term label only
الحدث,yes,yes,yes,none,article_2_term_label,TERM_CONFIRMED_STRUCTURAL_ONLY,
العمل,yes,yes,yes,none,article_2_term_label,TERM_CONFIRMED_STRUCTURAL_ONLY,
العمل الأصلي,yes,yes,yes,none,article_2_term_label,TERM_CONFIRMED_STRUCTURAL_ONLY,
العمل المؤقت,yes,yes,needs_manual_check,none,article_2_term_label,TERM_CONFIRMED_STRUCTURAL_ONLY,
العمل العرضي,yes,yes,needs_manual_check,none,article_2_term_label,TERM_CONFIRMED_STRUCTURAL_ONLY,
العمل الموسمي,yes,yes,needs_manual_check,none,article_2_term_label,TERM_CONFIRMED_STRUCTURAL_ONLY,
العمل لبعض الوقت,yes,yes,needs_manual_check,none,article_2_term_label,TERM_CONFIRMED_STRUCTURAL_ONLY,
الخدمة المستمرة,yes,yes,needs_manual_check,none,article_2_term_label,TERM_CONFIRMED_STRUCTURAL_ONLY,
الأجر الأساسي,yes,yes,needs_manual_check,none,article_2_term_label,TERM_CONFIRMED_STRUCTURAL_ONLY,
الأجر الفعلي,yes,yes,needs_manual_check,none,article_2_term_label,TERM_CONFIRMED_STRUCTURAL_ONLY,
الأجر,yes,yes,yes,none,article_2_term_label,TERM_CONFIRMED_STRUCTURAL_ONLY,
المنشأة,yes,yes,needs_manual_check,none,article_2_term_label,TERM_CONFIRMED_STRUCTURAL_ONLY,
الشهر,yes,yes,yes,none,article_2_term_label,TERM_CONFIRMED_STRUCTURAL_ONLY,
اللائحة,yes,yes,yes,none,article_2_term_label,TERM_CONFIRMED_STRUCTURAL_ONLY,
