article_id,instrument,article,official_text_ref,completeness_class,classification,class_ambiguous,rate_seen_before_classifying,court_judgments,court_nonstatutory_rate,court_named_fiqh_rate,party_judgments,party_nonstatutory_rate,operational_core_rank,window
commercial_courts_law:16,commercial_courts_law,16,corpus_registry.json / tracks / commercial_courts_law / article 16,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,9190,37.2,24.6,2110,16.8,1,contemporary_5y (1442-1446)
commercial_courts_law:30,commercial_courts_law,30,corpus_registry.json / tracks / commercial_courts_law / article 30,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,4892,42.8,26.5,730,9.3,2,contemporary_5y (1442-1446)
evidence_law:29,evidence_law,29,corpus_registry.json / tracks / evidence_law / article 29,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,3770,38.6,22.6,185,51.4,3,contemporary_5y (1442-1446)
sharia_procedure_law:76,sharia_procedure_law,76,corpus_registry.json / tracks / sharia_procedure_law / article 76,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,1564,11.4,8.3,294,40.5,5,contemporary_5y (1442-1446)
commercial_courts_implementing_regulation:164,commercial_courts_implementing_regulation,164,corpus_registry.json / tracks / commercial_courts_implementing_regulation / article 164,EXTERNAL_REFERRAL,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,1394,66.6,53.3,129,48.8,4,contemporary_5y (1442-1446)
commercial_courts_law:78,commercial_courts_law,78,corpus_registry.json / tracks / commercial_courts_law / article 78,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,1275,41.8,24.9,205,27.8,6,contemporary_5y (1442-1446)
evidence_law:21,evidence_law,21,corpus_registry.json / tracks / evidence_law / article 21,OPEN_TEXTURED_STANDARD,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,1030,45.4,21.1,56,23.2,7,contemporary_5y (1442-1446)
evidence_law:17,evidence_law,17,corpus_registry.json / tracks / evidence_law / article 17,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,846,28.1,22.0,41,58.5,8,contemporary_5y (1442-1446)
commercial_courts_law:10,commercial_courts_law,10,corpus_registry.json / tracks / commercial_courts_law / article 10,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,816,44.5,33.7,11,,9,contemporary_5y (1442-1446)
evidence_law:14,evidence_law,14,corpus_registry.json / tracks / evidence_law / article 14,DEFINITION_STATUS,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,574,28.2,20.0,47,61.7,10,contemporary_5y (1442-1446)
sharia_procedure_law:57,sharia_procedure_law,57,corpus_registry.json / tracks / sharia_procedure_law / article 57,OPEN_TEXTURED_STANDARD,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,539,57.7,20.8,100,5.0,14,contemporary_5y (1442-1446)
sharia_procedure_law:70,sharia_procedure_law,70,corpus_registry.json / tracks / sharia_procedure_law / article 70,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,533,42.4,1.5,7,,12,contemporary_5y (1442-1446)
