article_key,article_number_current,tracking_type,boe_structure_status,uploaded_candidate_status,action_needed,reconciliation_impact,owner_decision_needed_flag,resolution_status,notes
labor_law_art_079_mukarrar,79_mukarrar,MUKARRAR_CONFIRMED,INDEPENDENT_ARTICLE_ITEM,present,NO_ACTION_STRUCTURAL_ONLY,affects_article_count,no,CONFIRMED_STRUCTURAL_ONLY,Article 79 mukarrar confirmed as independent BOE article item; already in article_inventory
labor_law_art_229_mukarrar,229_mukarrar,MUKARRAR_CONFIRMED,INDEPENDENT_ARTICLE_ITEM,present,NO_ACTION_STRUCTURAL_ONLY,affects_article_count,no,CONFIRMED_STRUCTURAL_ONLY,Article 229 mukarrar confirmed as independent BOE article item; already in article_inventory
labor_law_art_011,11,MUKARRAR_NOT_INDEPENDENT_ITEM,AMENDMENT_NOTE_ONLY,not_checked,NEEDS_MANUAL_REVIEW,affects_article_keying,no,NEEDS_MANUAL_REVIEW,Article 11 mukarrar not found as independent BOE article_item; amendment tracking shows mukarrar_added_by_amendment
labor_law_art_131,131,MUKARRAR_NOT_INDEPENDENT_ITEM,AMENDMENT_NOTE_ONLY,not_checked,NEEDS_MANUAL_REVIEW,affects_article_keying,no,NEEDS_MANUAL_REVIEW,Article 131 mukarrar not found as independent BOE article_item; amendment tracking shows mukarrar_added_by_amendment via M/5
labor_law_art_231_renumbered,231,RENUMBERED_CONFIRMED,RENUMBERED_ENTRY,present,CARRY_FORWARD_TO_RECONCILIATION,affects_renumbered_article_handling,no,CARRIED_FORWARD,Article 231 renumbered from 240; structural flag only; needs text reconciliation later
labor_law_art_232_renumbered,232,RENUMBERED_CONFIRMED,RENUMBERED_ENTRY,present,CARRY_FORWARD_TO_RECONCILIATION,affects_renumbered_article_handling,no,CARRIED_FORWARD,Article 232 renumbered from 242; structural flag only; needs text reconciliation later
labor_law_art_233,233,DUPLICATE_BOE_ITEM,DUPLICATE_ITEM,present,NO_ACTION_STRUCTURAL_ONLY,affects_article_count,no,CONFIRMED_STRUCTURAL_ONLY,Articles 233/234/235 appeared duplicated on BOE page; deduplicated in prior stage
labor_law_art_234,234,DUPLICATE_BOE_ITEM,DUPLICATE_ITEM,present,NO_ACTION_STRUCTURAL_ONLY,affects_article_count,no,CONFIRMED_STRUCTURAL_ONLY,Articles 233/234/235 appeared duplicated on BOE page; deduplicated in prior stage
labor_law_art_235,235,DUPLICATE_BOE_ITEM,DUPLICATE_ITEM,present,NO_ACTION_STRUCTURAL_ONLY,affects_article_count,no,CONFIRMED_STRUCTURAL_ONLY,Articles 233/234/235 appeared duplicated on BOE page; deduplicated in prior stage
labor_law_art_078,78,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment; structural flag only
labor_law_art_149,149,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_deleted_by_amendment via M/5; structural flag only
labor_law_art_150,150,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_deleted_by_amendment via M/5; structural flag only
labor_law_art_156,156,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment via M/134; structural flag only
labor_law_art_195,195,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment via M/44; structural flag only
labor_law_art_197,197,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment via M/44; structural flag only
labor_law_art_203,203,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment via M/44; structural flag only
labor_law_art_205,205,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment via M/44; structural flag only
labor_law_art_206,206,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment via M/44; structural flag only
labor_law_art_207,207,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment via M/44; structural flag only
labor_law_art_208,208,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment via M/44; structural flag only
labor_law_art_210,210,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment; structural flag only
labor_law_art_211,211,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment; structural flag only
labor_law_art_212,212,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment; structural flag only
labor_law_art_213,213,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment; structural flag only
