batch_id,article_key,article_number_current,article_number_ar,boe_official_source_url,boe_access_date,boe_article_found_flag,official_arabic_text_reconciled,official_arabic_text_hash_sha256,official_arabic_text_length_chars,official_arabic_text_source_method,uploaded_candidate_compared_flag,uploaded_candidate_match_status,uploaded_candidate_issue_type,amendment_status_from_tracking,m44_related_flag,mukarrar_or_renumbered_or_deleted_flag,reconciliation_status,reconciliation_notes,ready_for_future_ingestion_flag
LABOR_LAW_TEXT_RECONCILIATION_BATCH_004_ARTICLES_076_100,labor_law_art_076,76,المادة السادسة والسبعون,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,,,0,NEEDS_AMENDMENT_POPUP_RECONCILIATION,not_available,not_compared,not_compared,amendment_tracked_not_merged_here,no,no,DO_NOT_INGEST_YET,amended article; BOE main DOM may be original/base text; amendment shown through show-amendment popup; no generated consolidation performed; do not ingest until official current text is cleanly captured,needs_manual_review
LABOR_LAW_TEXT_RECONCILIATION_BATCH_004_ARTICLES_076_100,labor_law_art_077,77,المادة السابعة والسبعون,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,,,0,NEEDS_AMENDMENT_POPUP_RECONCILIATION,not_available,not_compared,not_compared,amendment_tracked_not_merged_here,no,no,DO_NOT_INGEST_YET,amended article; BOE main DOM may be original/base text; amendment shown through show-amendment popup; no generated consolidation performed; do not ingest until official current text is cleanly captured,needs_manual_review
LABOR_LAW_TEXT_RECONCILIATION_BATCH_004_ARTICLES_076_100,labor_law_art_078,78,المادة الثامنة والسبعون,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,,,0,DELETED_OR_ABOLISHED_NEEDS_MANUAL_RECONCILIATION,not_available,not_compared,not_compared,amendment_tracked_not_merged_here,no,deleted_or_abolished,DO_NOT_INGEST_YET,deleted or abolished article; amendment tracking shows article_abolished_by_amendment; do not ingest; needs manual review,needs_manual_review
LABOR_LAW_TEXT_RECONCILIATION_BATCH_004_ARTICLES_076_100,labor_law_art_079,79,المادة التاسعة والسبعون,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,لا ينقضي عقد العمل بوفاة صاحب العمل، ما لم تكن شخصيته قد روعيت في إبرام العقد، ولكنه ينتهي بوفاة العامل أو بعجزه عن أداء عمله، وذلك بموجب شهادة طبية معتمدة من الجهات الصحية المخولة، أو من الطبيب المخول الذي يعينه صاحب العمل.,bb7ab2e2f75a0ea47ef0b437abaec493da02f27baaca7fa943013275efb1c93f,224,BOE_DOM_ARTICLE_TEXT,not_available,not_compared,not_compared,no_amendment_tracked,no,no,RECONCILED_FROM_BOE_OFFICIAL_AR,official BOE Arabic text captured for batch,yes
LABOR_LAW_TEXT_RECONCILIATION_BATCH_004_ARTICLES_076_100,labor_law_art_079_mukarrar,79_mukarrar,( التاسعة والسبعين مكرر ),https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,"1- يُعد طلب الاستقالة المقدم مقبولاً إذا مضى على تقديمه (ثلاثون) يوماً دون ردٍّ من صاحب العمل. ولصاحب العمل تأجيل قبول طلب الاستقالة مدة لا تزيد على (ستين) يوماً إذا اقتضت مصلحة العمل ذلك، ووفق إيضاح مسبب مكتوب يقدم للعامل، على أن يكون تأجيل القبول قبل انتهاء مدة الثلاثين يوماً المشار إليها في هذه الفقرة. وتحتسب مدة تأجيل القبول من تاريخ تقديم الإيضاح المشار إليه للعامل.
2- ينتهي عقد العمل بالاستقالة من تاريخ قبول صاحب العمل بها أو مضي مدة الثلاثين يوماً المشار إليها في الفقرة (1) من هذه المادة دون رد من صاحب العمل، أو مرور مدة تأجيل القبول المشار إليها في الفقرة (1) من هذه المادة.
3- للعامل العدول عن طلب الاستقالة خلال مدة لا تتجاوز (سبعة) أيام من تاريخ تقديمه، ما لم يقبلها صاحب العمل قبل العدول.
4- لا يصح أن يُحدد في طلب الاستقالة تاريخ مؤجل لها.
5- يُعد عقد العمل سارياً خلال مدة طلب الاستقالة، ويلتزم طرفا العقد بتنفيذ جميع الالتزامات الناشئة عنه خلالها.
6- يستحق العامل الذي انتهى عقده بالاستقالة جميع حقوقه المقررة بموجب هذا النظام",a213a34bee59a772a5ea176b22d345d04408c747f25b0cc519db0f034a7d865b,947,MUKARRAR_ARTICLE_TEXT_CAPTURED,not_available,not_compared,not_compared,no_amendment_tracked,no,mukarrar,RECONCILED_FROM_BOE_OFFICIAL_AR,confirmed independent mukarrar article; official BOE Arabic text captured; added by M/44 decree,yes
LABOR_LAW_TEXT_RECONCILIATION_BATCH_004_ARTICLES_076_100,labor_law_art_080,80,المادة الثمانون,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,,,0,NEEDS_AMENDMENT_POPUP_RECONCILIATION,not_available,not_compared,not_compared,amendment_tracked_not_merged_here,no,no,DO_NOT_INGEST_YET,amended article; BOE main DOM may be original/base text; amendment shown through show-amendment popup; no generated consolidation performed; do not ingest until official current text is cleanly captured,needs_manual_review
LABOR_LAW_TEXT_RECONCILIATION_BATCH_004_ARTICLES_076_100,labor_law_art_081,81,المادة الحادية والثمانون,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,"يحق للعامل أن يترك العمل دون إشعار مع احتفاظه بحقوقه النظامية كلها، وذلك في أي من الحالات الآتية:
1 - إذا لم يقم صاحب العمل بالوفاء بالتزاماته العقدية أو النظامية الجوهرية إزاء العامل.2 - إذا ثبت أن صاحب العمل أو من يمثله قد أدخل عليه الغش وقت التعاقد فيما يتعلق بشروط العمل وظروفه.3 - إذا كلفه صاحب العمل دون رضاه بعمل يختلف جوهريًّا عن العمل المتفق عليه، وخلافًا لما تقرره المادة الستون من هذا النظام.4 - إذا وقع من صاحب العمل أو من أحد أفراد أسرته أو من المدير المسؤول اعتداء يتسم بالعنف، أو سلوك مخل بالآداب نحو العامل أو أحد أفراد أسرته.5 - إذا اتسمت معاملة صاحب العمل أو المدير المسؤول بمظاهر من القسوة والجور أو الإهانة.6 - إذا كان في مقر العمل خطر جسيم يهدد سلامة العامل أو صحته، بشرط أن يكون صاحب العمل قد علم بوجوده، ولم يتخذ من الإجراءات ما يدل على إزالته.7 - إذا كان صاحب العمل أو من يمثله قد دفع العامل بتصرفاته وعلى الأخص بمعاملته الجائرة أو بمخالفته شروط العقد إلى أن يكون العامل في الظاهر هو الذي أنهى العقد.",b2e72fa14a334c7ff33142062854260c4ed8e142ad73c1fd3dd5a344fe0450a2,924,BOE_DOM_ARTICLE_TEXT,not_available,not_compared,not_compared,no_amendment_tracked,no,no,RECONCILED_FROM_BOE_OFFICIAL_AR,official BOE Arabic text captured for batch,yes
LABOR_LAW_TEXT_RECONCILIATION_BATCH_004_ARTICLES_076_100,labor_law_art_082,82,المادة الثانية والثمانون,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,لا يجوز لصاحب العمل إنهاء خدمة العامل بسبب المرض، قبل استنفاذه المدد المحددة للإجازة المنصوص عليها في هذا النظام، وللعامل الحق في أن يطلب وصل إجازته السنوية بالمرضية.,c90ac81baa5cda5da5f44bcc1eb78dfe4d92d9e8cd5994024a7d8d0e4b3159b0,166,BOE_DOM_ARTICLE_TEXT,not_available,not_compared,not_compared,no_amendment_tracked,no,no,RECONCILED_FROM_BOE_OFFICIAL_AR,official BOE Arabic text captured for batch,yes
LABOR_LAW_TEXT_RECONCILIATION_BATCH_004_ARTICLES_076_100,labor_law_art_083,83,المادة الثالثة والثمانون,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,,,0,NEEDS_AMENDMENT_POPUP_RECONCILIATION,not_available,not_compared,not_compared,amendment_tracked_not_merged_here,no,no,DO_NOT_INGEST_YET,amended article; BOE main DOM may be original/base text; amendment shown through show-amendment popup; no generated consolidation performed; do not ingest until official current text is cleanly captured,needs_manual_review
LABOR_LAW_TEXT_RECONCILIATION_BATCH_004_ARTICLES_076_100,labor_law_art_084,84,المادة الرابعة والثمانون,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,إذا انتهت علاقة العمل وجب على صاحب العمل أن يدفع إلى العامل مكافأة عن مدة خدمته تحسب على أساس أجر نصف شهر عن كل سنة من السنوات الخمس الأولى، وأجر شهر عن كل سنة من السنوات التالية، ويتخذ الأجر الأخير أساسًا لحساب المكافأة، ويستحق العامل مكافأة عن أجزاء السنة بنسبة ما قضاه منها في العمل.,852b4975dfd9c11144b0dcd1696f512b938c14732e8ab48951a95a38afc30daf,286,BOE_DOM_ARTICLE_TEXT,not_available,not_compared,not_compared,no_amendment_tracked,no,no,RECONCILED_FROM_BOE_OFFICIAL_AR,official BOE Arabic text captured for batch,yes
LABOR_LAW_TEXT_RECONCILIATION_BATCH_004_ARTICLES_076_100,labor_law_art_085,85,المادة الخامسة والثمانون,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,إذا كان انتهاء علاقة العمل بسبب استقالة العامل يستحق في هذه الحالة ثلث المكافأة بعد خدمة لا تقل مدتها عن سنتين متتاليتين، ولا تزيد على خمس سنوات، ويستحق ثلثيها إذا زادت مدة خدمته على خمس سنوات متتالية ولم تبلغ عشر سنوات، ويستحق المكافأة كاملة إذا بلغت مدة خدمته عشر سنوات فأكثر.,6b8d7a56914985235654bae2b2f10cef8d28a5fe1b9cdec06e264a7dc1b3ff85,278,BOE_DOM_ARTICLE_TEXT,not_available,not_compared,not_compared,no_amendment_tracked,no,no,RECONCILED_FROM_BOE_OFFICIAL_AR,official BOE Arabic text captured for batch,yes
LABOR_LAW_TEXT_RECONCILIATION_BATCH_004_ARTICLES_076_100,labor_law_art_086,86,المادة السادسة والثمانون,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,استثناء من حكم المادة (الثامنة) من هذا النظام، يجوز الاتفاق على ألا تحسب في الأجر الذي تسوى على أساسه مكافأة نهاية الخدمة جميع مبالغ العمولات أو بعضها والنسب المئوية عن ثمن المبيعات وما أشبه ذلك من عناصر الأجر الذي يدفع إلى العامل وتكون قابلة بطبيعتها للزيادة والنقص.,8e353b0aa03e8ba0dc697837995efaabcae2b946e76f65b5bf8fda48b0f81e9e,267,BOE_DOM_ARTICLE_TEXT,not_available,not_compared,not_compared,no_amendment_tracked,no,no,RECONCILED_FROM_BOE_OFFICIAL_AR,official BOE Arabic text captured for batch,yes
LABOR_LAW_TEXT_RECONCILIATION_BATCH_004_ARTICLES_076_100,labor_law_art_087,87,المادة السابعة والثمانون,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,استثناءً مما ورد في المادة الخامسة والثمانين من هذا النظام تستحق المكافأة كاملة في حالة ترك العامل العمل نتيجة لقوة قاهرة خارجة عن إرادته، كما تستحقها العاملة إذا أنهت العقد خلال ستة أشهر من تاريخ عقد زواجها أو ثلاثة أشهر من تاريخ وضعها.,0fbb4685490d635d75095954b3a7f757e8020218ab666871be14e37b66ee2f73,237,BOE_DOM_ARTICLE_TEXT,not_available,not_compared,not_compared,no_amendment_tracked,no,no,RECONCILED_FROM_BOE_OFFICIAL_AR,official BOE Arabic text captured for batch,yes
LABOR_LAW_TEXT_RECONCILIATION_BATCH_004_ARTICLES_076_100,labor_law_art_088,88,المادة الثامنة والثمانون,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,إذا انتهت خدمة العامل وجب على صاحب العمل دفع أجره وتصفية حقوقه خلال أسبوع- على الأكثر- من تاريخ انتهاء العلاقة العقدية، أما إذا كان العامل هو الذي أنهى العقد وجب على صاحب العمل تصفية حقوقه كاملة خلال مدة لا تزيد على أسبوعين. ولصاحب العمل أن يحسم أي دين مستحق له بسبب العمل من المبالغ المستحقة للعامل.,789e8f4906bbe59780b72b75dd202f230503e208687513d9cc953452e6ff1fe8,300,BOE_DOM_ARTICLE_TEXT,not_available,not_compared,not_compared,no_amendment_tracked,no,no,RECONCILED_FROM_BOE_OFFICIAL_AR,official BOE Arabic text captured for batch,yes
LABOR_LAW_TEXT_RECONCILIATION_BATCH_004_ARTICLES_076_100,labor_law_art_089,89,المادة التاسعة والثمانون,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,لمجلس الوزراء عند الاقتضاء- وبناء على اقتراح الوزير- وضع حد أدنى للأجور.,843c678594804e0d82c2912f16a60f87c4987e1258cdf0f5b4bc7879622612b0,72,BOE_DOM_ARTICLE_TEXT,not_available,not_compared,not_compared,no_amendment_tracked,no,no,RECONCILED_FROM_BOE_OFFICIAL_AR,official BOE Arabic text captured for batch,yes
LABOR_LAW_TEXT_RECONCILIATION_BATCH_004_ARTICLES_076_100,labor_law_art_090,90,المادة التسعون,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,,,0,NEEDS_AMENDMENT_POPUP_RECONCILIATION,not_available,not_compared,not_compared,amendment_tracked_not_merged_here,no,no,DO_NOT_INGEST_YET,amended article; BOE main DOM may be original/base text; amendment shown through show-amendment popup; no generated consolidation performed; do not ingest until official current text is cleanly captured,needs_manual_review
LABOR_LAW_TEXT_RECONCILIATION_BATCH_004_ARTICLES_076_100,labor_law_art_091,91,المادة الحادية والتسعون,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,1- إذا تسبب عامل في فقد أو إتلاف أو تدمير آلات أو منتجات يملكها صاحب العمل أو هي في عهدته وكان ذلك ناشئًا عن خطأ العامل أو مخالفته تعليمات صاحب العمل ولم يكن نتيجة لخطأ الغير أو ناشئًا عن قوة قاهرة، فلصاحب العمل أن يقتطع من أجر العامل المبلغ اللازم للإصلاح أو لإعادة الوضع إلى ما كان عليه على ألا يزيد ما يقتطع لهذا الغرض على أجر خمسة أيام في كل شهر، ولصاحب العمل الحق في التظلم عند الاقتضاء، وذلك بطلب ما هو أكثر من ذلك إذا كان للعامل مال آخر يمكن الاستيفاء منه، وللعامل أن يتظلم مما نسب إليه أو من تقدير صاحب العمل للتعويض أمام هيئة تسوية الخلافات العمالية، فإذا حكمت بعدم أحقية صاحب العمل في الرجوع على العامل بما اقتطعه منه أو حكمت بأقل منه وجب على صاحب العمل أن يرد إلى العامل ما اقتطع منه دون وجه حق خلال سبعة أيام من تاريخ صدور الحكم.2 - يكون تظلم أي من الطرفين خلال خمسة عشر يوم عمل، وإلا سقط الحق فيه، ويبدأ موعد التظلم بالنسبة إلى صاحب العمل من تاريخ اكتشاف الواقعة، وبالنسبة إلى العامل من تاريخ إبلاغ صاحب العمل له بذلك.,32e8a77ae1066445d367354dff34ea14456fdb832ab3b04ad8bea2a51ad23474,931,BOE_DOM_ARTICLE_TEXT,not_available,not_compared,not_compared,no_amendment_tracked,no,no,RECONCILED_FROM_BOE_OFFICIAL_AR,official BOE Arabic text captured for batch,yes
