article_key,article_number_current,article_number_ar,article_number_previous_if_any,mukarrar_flag,deleted_or_abolished_flag,chapter_number,chapter_title_ar,section_title_ar_if_any,official_source_url,official_source_access_date,official_article_present_flag,official_text_capture_status,uploaded_candidate_line_reference,uploaded_candidate_issue_flag,amendment_notes_present_flag,amendment_count,m44_related_flag,reconciliation_status,unresolved_issue_flag,reviewer_notes,official_english_translation_reference_available,english_translation_page_reference_if_used,english_translation_appendix_reference_if_used,english_reference_note,arabic_source_still_governs_flag
labor_law_art_001,1,المادة الأولى,,no,no,1,التعريفات والأحكام العامة,الفصل الأول : التعريفات,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,OFFICIAL_TEXT_CAPTURED_BATCH,,not_checked,no,,no,TEXT_RECONCILED_BATCH_001,no,Batch 001: BOE official Arabic text captured,yes,,,,yes
labor_law_art_002,2,المادة الثانية,,no,no,1,التعريفات والأحكام العامة,الفصل الأول : التعريفات,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,NEEDS_MANUAL_CAPTURE,,not_checked,yes,2,yes,DO_NOT_INGEST,needs_manual_check,Batch 001 fix: Article 2 had blocking label-shift capture issue; BOE DOM text displays صاحب العمل where العامل should be (confirmed by M/134 popup); official text deferred to NEEDS_MANUAL_CAPTURE; not ready for future ingestion until clean official-source recapture,yes,,,,yes
labor_law_art_003,3,المادة الثالثة,,no,no,1,التعريفات والأحكام العامة,الفصل الأول : التعريفات,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,NEEDS_MANUAL_CAPTURE,,not_checked,yes,1,no,DO_NOT_INGEST,needs_manual_check,Batch 001 fix: amended article; BOE main DOM may be original/base text; amendment shown through popup; current consolidated text not safely captured; needs manual review before future ingestion,yes,,,,yes
labor_law_art_004,4,المادة الرابعة,,no,no,1,التعريفات والأحكام العامة,الفصل الأول : التعريفات,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,OFFICIAL_TEXT_CAPTURED_BATCH,,not_checked,no,,no,TEXT_RECONCILED_BATCH_001,no,Batch 001: BOE official Arabic text captured,yes,,,,yes
labor_law_art_005,5,المادة الخامسة,,no,no,1,التعريفات والأحكام العامة,الفصل الأول : التعريفات,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,NEEDS_MANUAL_CAPTURE,,not_checked,yes,1,no,DO_NOT_INGEST,needs_manual_check,Batch 001 fix: amended article; BOE main DOM may be original/base text; amendment shown through popup; current consolidated text not safely captured; needs manual review before future ingestion,yes,,,,yes
labor_law_art_006,6,المادة السادسة,,no,no,1,التعريفات والأحكام العامة,الفصل الأول : التعريفات,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,OFFICIAL_TEXT_CAPTURED_BATCH,,not_checked,no,,no,TEXT_RECONCILED_BATCH_001,no,Batch 001: BOE official Arabic text captured,yes,,,,yes
labor_law_art_007,7,المادة السابعة,,no,no,1,التعريفات والأحكام العامة,الفصل الأول : التعريفات,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,NEEDS_MANUAL_CAPTURE,,not_checked,yes,2,yes,DO_NOT_INGEST,needs_manual_check,Batch 001 fix: amended article; BOE main DOM may be original/base text; amendment shown through popup; current consolidated text not safely captured; needs manual review before future ingestion,yes,,,,yes
labor_law_art_008,8,المادة الثامنة,,no,no,1,التعريفات والأحكام العامة,الفصل الأول : التعريفات,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,OFFICIAL_TEXT_CAPTURED_BATCH,,not_checked,no,,no,TEXT_RECONCILED_BATCH_001,no,Batch 001: BOE official Arabic text captured,yes,,,,yes
labor_law_art_009,9,المادة التاسعة,,no,no,1,التعريفات والأحكام العامة,الفصل الأول : التعريفات,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,OFFICIAL_TEXT_CAPTURED_BATCH,,not_checked,no,,no,TEXT_RECONCILED_BATCH_001,no,Batch 001: BOE official Arabic text captured,yes,,,,yes
labor_law_art_010,10,المادة العاشرة,,no,no,1,التعريفات والأحكام العامة,الفصل الأول : التعريفات,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,OFFICIAL_TEXT_CAPTURED_BATCH,,not_checked,no,,no,TEXT_RECONCILED_BATCH_001,no,Batch 001: BOE official Arabic text captured,yes,,,,yes
