article_key,m44_reference_present,affected_term_or_clause,article_2_definition_added_flag,added_terms,reconciliation_notes
labor_law_art_002,yes,article_amendment_note,yes,الإسناد؛ الاستقالة,m44 reference confirmed from BOE amendment note
labor_law_art_007,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_022,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_023,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_024,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_025,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_027,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_028,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_030,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_031,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_035,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_037,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_039,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_040,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_042,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_043,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_044,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_046,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_047,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_048,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_051,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_052,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_053,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_061,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_072,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_074,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_075,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_107,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_113,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_151,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_168,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_178,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_182,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_195,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_196,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_197,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_198,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_199,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_203,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_205,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_206,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_207,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_208,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_209,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
labor_law_art_230,yes,article_amendment_note,no,,m44 reference confirmed from BOE amendment note
